Dt,Adj Close,Volume,SMAVG (15)
3/16/2015,1244.605,943832128,979923008
3/17/2015,1241.85,918162304,979784512
3/18/2015,1256.268,1084448000,992361600
3/19/2015,1251.331,897603904,989722624
3/20/2015,1262.423,2884950016,1107579008
3/23/2015,1260.083,909180416,1102222976
3/24/2015,1253.158,925894784,1095985920
3/25/2015,1233.787,1068584000,1106036736
3/26/2015,1231.036,1072718976,1117969024
3/27/2015,1234.874,957496896,1107715584
3/30/2015,1250.197,889825792,1106299264
3/31/2015,1240.277,1215539968,1117082752
4/1/2015,1235.63,1023929984,1117840640
4/2/2015,1240.103,882076800,1111570176
4/6/2015,1248.078,1131947008,1120412672
4/7/2015,1244.756,832220672,1112972032
4/8/2015,1248.948,932518720,1113929088
4/9/2015,1253.219,867549824,1099469184
4/10/2015,1259.328,809308672,1093582848
4/13/2015,1254.192,823224320,956134464
4/14/2015,1255.843,813428288,949750976
4/15/2015,1262.541,1007603968,955198272
4/16/2015,1261.547,876161088,942370048
4/17/2015,1246.667,1107954944,944719104
4/20/2015,1257.925,855647104,937929152
4/21/2015,1256.59,851310272,935361472
4/22/2015,1262.316,903866496,914583232
4/23/2015,1265.788,945581120,909359936
4/24/2015,1267.352,965868416,914946048
4/27/2015,1260.976,1044545024,909119232
4/28/2015,1264.185,1004876992,920629696
4/29/2015,1258.799,1029209984,927075776
4/30/2015,1244.719,1367047040,960375552
5/1/2015,1257.391,998180672,972967040
5/4/2015,1261.208,899570176,978056768
5/5/2015,1245.815,1025553984,992198464
5/6/2015,1241.537,1061624000,995799808
5/7/2015,1246.47,1005553024,1004425920
5/8/2015,1262.034,987903104,996422464
5/11/2015,1256.628,894332672,999001536
5/12/2015,1253.167,892639488,1001756800
5/13/2015,1252.808,869222720,999447232
5/14/2015,1265.984,882610112,995249152
5/15/2015,1267.02,1036118016,999932480
5/18/2015,1272.132,843193024,986508992
5/19/2015,1271.01,907498688,980017088
5/20/2015,1270.161,864958976,969067072
5/21/2015,1272.775,838058496,933801152
5/22/2015,1269.981,772783104,918774656
5/26/2015,1257.035,987484032,924635584
5/27/2015,1268.532,914393408,917224832
5/28/2015,1266.918,865415296,904144256
5/29/2015,1259.265,1479288960,935726656
6/1/2015,1261.828,911338368,930622336
6/2/2015,1261.01,893374272,930558464
6/3/2015,1264.722,871932800,929178048
6/4/2015,1253.725,912578432,932068416
6/5/2015,1253.529,966980928,937693120
6/8/2015,1245.219,874152384,926895424
6/9/2015,1245.113,896934912,930478208
6/10/2015,1259.943,968516416,934546048
6/11/2015,1262.587,959930880,940877504
6/12/2015,1254.49,803361472,938564352
6/15/2015,1248.737,927036928,948847936
6/16/2015,1255.825,791904384,935809344
6/17/2015,1257.972,874934016,933178688
6/18/2015,1270.589,1016257024,943234816
6/19/2015,1264.851,2458931968,1008544320
6/22/2015,1272.268,895129792,1007463744
6/23/2015,1273.387,841234816,1003987840
6/24/2015,1263.352,933836672,1008114752
6/25/2015,1259.876,940056832,1009946624
6/26/2015,1259.079,2670897920,1123541120
6/29/2015,1232.144,1100780032,1138649600
6/30/2015,1236.117,1377342976,1170676864
7/1/2015,1243.746,1056601024,1176549120
7/2/2015,1242.683,887807296,1171740928
7/6/2015,1238.334,1177017984,1196651264
7/7/2015,1245.192,1153442048,1211745024
7/8/2015,1224.427,739726784,1208266496
7/9/2015,1227.458,1012526016,1217439232
7/10/2015,1242.627,882636992,1208531328
7/13/2015,1256.085,911829120,1105391104
7/14/2015,1262.088,893993472,1105315328
7/15/2015,1259.822,939657984,1111876864
7/16/2015,1269.294,923115008,1111162112
7/17/2015,1269.449,1063473984,1119389952
7/20/2015,1269.554,913729984,1002245376
7/21/2015,1263.79,968359424,993417344
7/22/2015,1261.656,1060006016,972261568
7/23/2015,1254.17,1057241024,972304192
7/24/2015,1240.667,1110082944,987122560
